"RetentionTime","TIC","Mass","Intensity"
321.20502,11471,44,11471.15
321.46002,11407,44,11407.96
321.71502,11522,44,11522.8
321.97002,11701,44,11701.48
322.22598,11839,44,11839.82
322.48098,11767,44,11767.45
322.737,11475,44,11475.2
322.992,11319,44,11319.41
323.247,11566,44,11566.35
323.50302,11930,44,11930.05
323.75802,11922,44,11922.67
324.01398,11590,44,11590.31
324.26898,11436,44,11436.85
324.52398,11684,44,11684.06
324.78,11989,44,11989.99
325.035,11947,44,11947.65
325.29102,11700,44,11700.8
325.54602,11727,44,11727.85
325.80102,12006,44,12006.15
326.05698,12105,44,12105.7
326.31198,11883,44,11883.64
326.568,11462,44,11462.95
326.823,11077,44,11077.36
327.078,10955,44,10955.18
327.33402,11108,44,11108.32
327.58902,11446,44,11446.56
327.84498,11780,44,11780.44
328.09998,11857,44,11857.42
328.35498,11775,44,11775.48
328.611,11695,44,11695.05
328.866,11504,44,11504.4
329.12202,11287,44,11287.67
329.37702,11428,44,11428.53
329.63202,12008,44,12008.89
329.88798,12462,44,12462.26
330.14298,12398,44,12398.4
330.399,12172,44,12173
330.654,12027,44,12027.33
330.909,11889,44,11889.1
331.16502,11878,44,11878.67
331.42002,11879,44,11879.17
331.67502,11633,44,11633.38
331.93098,11355,44,11355.67
332.18598,11291,44,11291.39
332.442,11245,44,11245.12
332.697,11052,44,11052.09
332.952,10951,44,10951.33
333.20802,11075,44,11075.07
333.46302,11220,44,11220.58
333.71898,11299,44,11299.74
333.97398,11344,44,11344.51
334.22898,11370,44,11370.56
334.485,11437,44,11437.6
334.74,11416,44,11416.11
334.99602,11234,44,11234.28
335.25102,11214,44,11214.34
335.50602,11403,44,11403.59
335.76198,11461,44,11461.64
336.01698,11370,44,11370.63
336.273,11323,44,11323.4
336.528,11386,44,11386.38
336.783,11612,44,11612.66
337.03902,11887,44,11887.19
337.29402,11890,44,11890.35
337.54998,11649,44,11649.85
337.80498,11589,44,11589.92
338.05998,11941,44,11941.98
338.316,12515,44,12515.17
338.571,12871,44,12871.74
338.82702,12687,44,12687.39
339.08202,12151,44,12151.7
339.33702,11741,44,11741.73
339.59298,11600,44,11600.7
339.84798,11527,44,11527.27
340.104,11405,44,11405.08
340.359,11265,44,11265.25
340.614,11190,44,11190.98
340.87002,11286,44,11286.64
341.12502,11475,44,11475.09
341.38098,11529,44,11529.77
341.63598,11417,44,11417.74
341.89098,11306,44,11306.36
342.147,11306,44,11306.05
342.402,11475,44,11475.76
342.65802,11765,44,11765.28
342.91302,11965,44,11965.86
343.16802,11970,44,11970.02
