Label,Lngx,Laty,Continent,ID
Urbana USA,-88.21,40.11,Americas,Urbana USA
Boston USA,-71.02,42.34,Americas,Boston USA
Changsha China,112.97,28.2,Asia,Changsha China
Richardson USA,-96.71,32.97,Americas,Richardson USA
Amsterdam Netherlands,4.89,52.37,Europe,Amsterdam Netherlands
Kharkiv Ukraine,36.22,49.98,Europe,Kharkiv Ukraine
Nara Japan,135.83,34.69,Asia,Nara Japan
Takayama Japan,137.24,36.15,Asia,Takayama Japan
Ikoma Japan,135.72,34.7,Asia,Ikoma Japan
Shiga Japan,135.92,35.19,Asia,Shiga Japan
Duisburg Germany,6.75,51.43,Europe,Duisburg Germany
Hiroshima Japan,132.44,34.39,Asia,Hiroshima Japan
Shenyang China,123.45,41.8,Asia,Shenyang China
Lecce Italy,18.16,40.36,Europe,Lecce Italy
Frankfurt Germany,8.68,50.12,Europe,Frankfurt Germany
Berkeley USA,-122.27,37.87,Americas,Berkeley USA
Kurchatov Russia,35.65,51.59,Europe,Kurchatov Russia
Najafabad Iran,51.35,32.67,Asia,Najafabad Iran
Lancaster UK,-2.8,54.05,Europe,Lancaster UK
Lansing USA,-84.55,42.71,Americas,Lansing USA
Lille France,3.07,50.64,Europe,Lille France
Cary USA,-78.8,35.78,Americas,Cary USA
Bursa Turkey,29.08,40.2,Asia,Bursa Turkey
Kerman Iran,57.08,30.3,Asia,Kerman Iran
Reading UK,-0.98,51.45,Europe,Reading UK
Evry France,2.44,48.64,Europe,Evry France
Xiamen China,118.08,24.45,Asia,Xiamen China
Kaunas Lithuania,23.91,54.9,Europe,Kaunas Lithuania
Tuscaloosa USA,-87.54,33.24,Americas,Tuscaloosa USA
Bath UK,-2.38,51.39,Europe,Bath UK
Bristol UK,-2.6,51.46,Europe,Bristol UK
Warwick UK,-1.59,52.29,Europe,Warwick UK
Coventry UK,-1.5,52.42,Europe,Coventry UK
Auburn USA,-122.21,47.3,Americas,Auburn USA
Fremont USA,-122,37.53,Americas,Fremont USA
Miami USA,-80.21,25.78,Americas,Miami USA
Sevenoaks UK,0.18,51.28,Europe,Sevenoaks UK
Halstead UK,0.13,51.32,Europe,Halstead UK
Weston USA,-80.4,26.1,Americas,Weston USA
Somerville USA,-71.1,42.39,Americas,Somerville USA
Edmonton Canada,-113.54,53.57,Americas,Edmonton Canada
Grenoble France,5.72,45.19,Europe,Grenoble France
Bradford UK,-1.75,53.8,Europe,Bradford UK
Lahore Pakistan,74.35,31.56,Asia,Lahore Pakistan
Dhanbad India,86.42,23.8,Asia,Dhanbad India
Charlotte USA,-80.83,35.2,Americas,Charlotte USA
Zhongshan China,113.35,22.53,Asia,Zhongshan China
Luoyang China,114.28,23.17,Asia,Luoyang China
Mohali India,76.69,30.78,Asia,Mohali India
Shimoga India,75.57,13.93,Asia,Shimoga India
Iasi Romania,27.57,47.17,Europe,Iasi Romania
Arlington USA,-77.1,38.88,Americas,Arlington USA
Aberdeen UK,-2.1,57.15,Europe,Aberdeen UK
Bandung Indonesia,107.6,-6.91,Asia,Bandung Indonesia
Concord USA,-122,37.97,Americas,Concord USA
Horsham UK,-0.33,51.07,Europe,Horsham UK
Gorakhpur India,83.36,26.76,Asia,Gorakhpur India
Milwaukee USA,-87.97,43.06,Americas,Milwaukee USA
Bolivar Colombia,-76.97,1.84,Americas,Bolivar Colombia
Colombia Colombia,-74.81,3.38,Americas,Colombia Colombia
Andes Colombia,-75.88,5.65,Americas,Andes Colombia
Saint-Louis France,7.55,47.6,Europe,Saint-Louis France
Okinawa Japan,127.79,26.34,Asia,Okinawa Japan
Nago Japan,127.99,26.59,Asia,Nago Japan
Kumamoto Japan,130.71,32.8,Asia,Kumamoto Japan
Yatsushiro Japan,130.6,32.51,Asia,Yatsushiro Japan
Oslo Norway,10.75,59.91,Europe,Oslo Norway
Tumba Sweden,17.81,59.2,Europe,Tumba Sweden
Palaiseau France,2.25,48.73,Europe,Palaiseau France
Marmara Turkey,27.56,40.59,Asia,Marmara Turkey
Dumlupinar Turkey,30,38.87,Asia,Dumlupinar Turkey
Reading USA,-75.93,40.34,Americas,Reading USA
Brussels Belgium,4.33,50.83,Europe,Brussels Belgium
Vannes France,-2.76,47.66,Europe,Vannes France
Valencia Spain,-0.39,39.48,Europe,Valencia Spain
Kakuda Japan,140.78,37.97,Asia,Kakuda Japan
Kawasaki Japan,139.7,35.53,Asia,Kawasaki Japan
Tokushima Japan,134.55,34.07,Asia,Tokushima Japan
Shido Japan,134.17,34.32,Asia,Shido Japan
Tomsk Russia,84.97,56.5,Europe,Tomsk Russia
Graz Austria,15.42,47.08,Europe,Graz Austria
Macclesfield UK,-2.15,53.27,Europe,Macclesfield UK
Yanan China,109.47,36.6,Asia,Yanan China
Loveland USA,-105.07,40.42,Americas,Loveland USA
Edison USA,-74.37,40.53,Americas,Edison USA
Rosemead USA,-118.08,34.07,Americas,Rosemead USA
Gubkin Russia,37.39,51.28,Europe,Gubkin Russia
Lubbock USA,-101.88,33.58,Americas,Lubbock USA
Agartala India,91.27,23.84,Asia,Agartala India
Tianjin China,117.2,39.13,Asia,Tianjin China
Shijiazhuang China,114.48,38.05,Asia,Shijiazhuang China
Yazd Iran,54.37,31.92,Asia,Yazd Iran
Stuttgart Germany,9.19,48.79,Europe,Stuttgart Germany
Nottingham UK,-1.18,52.97,Europe,Nottingham UK
Fayetteville USA,-78.9,35.07,Americas,Fayetteville USA
Nagpur India,79.08,21.16,Asia,Nagpur India
Mannheim Germany,8.47,49.5,Europe,Mannheim Germany
